STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,2014-01-01,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",6.0,",,W",-43.0,",,W",,,,,-106.0,",,W",10271.0,",,W",10217.0,",,W",-44.0,",,W",25.0,",,W",,,,,,,,,,,,,,,,,,,,,51.0,",,W",42.0,",,W",59.0,",,W",,,,,,,,,280.0,",,W",300.0,",,W",,,,,,,,,,,63.0,",,W",103.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-02,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",84,",,W,2400",79.0,",,W,",0.0,",,W,",6.0,",,W",-77.0,",,W",,,,,-72.0,",,W",10142.0,",,W",10112.0,",,W",-44.0,",,W",55.0,",,W",,,,,,,,,,,,,,,,,,,,,76.0,",,W",58.0,",,W",85.0,",,W",,,,,,,,,50.0,",,W",50.0,",,W",,,,,,,,,,,94.0,",,W",125.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-03,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",74,",,W,2400",84.0,",,W,",150.0,",,W,",-77.0,",,W",-127.0,",,W",,,,,-172.0,",,W",10186.0,",,W",10105.0,",,W",-117.0,",,W",47.0,",,W",,,,,,,,,,,,,,,,,,,,,59.0,",,W",42.0,",,W",81.0,",,W",,,,,,,,,360.0,",,W",310.0,",,W",,,,,,,,,,,94.0,",,W",130.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-04,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",150.0,",,W,",-16.0,",,W",-132.0,",,W",,,,,-167.0,",,W",10301.0,",,W",10251.0,",,W",-94.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,48.0,",,W",33.0,",,W",64.0,",,W",,,,,,,,,260.0,",,W",240.0,",,W",,,,,,,,,,,40.0,",,W",89.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-05,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",36,",,W,2400",0.0,"T,,W,",100.0,",,W,",44.0,",,W",-27.0,",,W",,,,,-22.0,",,W",10213.0,",,W",10176.0,",,W",-6.0,",,W",17.0,",,W",,,,,,,,,,,,,,,,,,,,,82.0,",,W",61.0,",,W",93.0,",,W",,,,,,,,,70.0,",,W",240.0,",,W",,,,,,,,,,,31.0,",,W",76.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-06,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",91,",,W,2400",0.0,",,W,",30.0,",,W,",128.0,",,W",-71.0,",,W",,,,,11.0,",,W",10007.0,",,W",9959.0,",,W",44.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,71.0,",,W",42.0,",,W",97.0,",,W",,,,,,,,,290.0,",,W",300.0,",,W",,,,,,,,,,,81.0,",,W",130.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-07,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",-71.0,",,W",-155.0,",,W",,,,,-239.0,",,W",10207.0,",,W",10129.0,",,W",-150.0,",,W",59.0,",,W",,,,,,,,,,,,,,,,,,,,,39.0,",,W",33.0,",,W",46.0,",,W",,,,,,,,,280.0,",,W",270.0,",,W",,,,,,,,,,,103.0,",,W",170.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-08,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",-55.0,",,W",-127.0,",,W",,,,,-189.0,",,W",10322.0,",,W",10261.0,",,W",-117.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,43.0,",,W",38.0,",,W",52.0,",,W",,,,,,,,,290.0,",,W",290.0,",,W",,,,,,,,,,,67.0,",,W",103.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-09,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",0.0,",,W",-55.0,",,W",,,,,-133.0,",,W",10359.0,",,W",10301.0,",,W",-56.0,",,W",13.0,",,W",,,,,,,,,,,,,,,,,,,,,45.0,",,W",35.0,",,W",57.0,",,W",,,,,,,,,350.0,",,W",320.0,",,W",,,,,,,,,,,54.0,",,W",72.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-10,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",28,",,W,2400",0.0,"T,,W,",0.0,",,W,",28.0,",,W",-10.0,",,W",,,,,-28.0,",,W",10298.0,",,W",10257.0,",,W",-6.0,",,W",15.0,",,W",,,,,,,,,,,,,,,,,,,,,79.0,",,W",54.0,",,W",93.0,",,W",,,,,,,,,50.0,",,W",160.0,",,W",,,,,,,,,,,36.0,",,W",49.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
